Weeks,Adds,Subs,Year,Date
1546732800,1819,-50492,2019,2019-01-06
1547337600,5210,-2260,2019,2019-01-13
1547942400,34416,-942,2019,2019-01-20
1548547200,503,-215,2019,2019-01-27
1549152000,18431,-16970,2019,2019-02-03
1549756800,505,-132,2019,2019-02-10
1550361600,1472,-823,2019,2019-02-17
1550966400,352,-177,2019,2019-02-24
1551571200,108,-75,2019,2019-03-03
1552176000,620,-319,2019,2019-03-10
1552780800,513,-177,2019,2019-03-17
1553385600,0,0,2019,2019-03-24
1553990400,65,-91,2019,2019-03-31
1554595200,47,-17,2019,2019-04-07
1555200000,0,0,2019,2019-04-14
1555804800,146,-36,2019,2019-04-21
1556409600,24,0,2019,2019-04-28
1557014400,2,-2,2019,2019-05-05
1557619200,25,-35,2019,2019-05-12
1558224000,18,0,2019,2019-05-19
1558828800,0,0,2019,2019-05-26
1559433600,1,-1,2019,2019-06-02
1560038400,54,-24,2019,2019-06-09
1560643200,43,-40,2019,2019-06-16
1561248000,0,0,2019,2019-06-23
1561852800,0,0,2019,2019-06-30
1562457600,58,-151,2019,2019-07-07
1563062400,1,-1,2019,2019-07-14
1563667200,0,0,2019,2019-07-21
1564272000,11,-1,2019,2019-07-28
1564876800,54,-49,2019,2019-08-04
1565481600,1,-1,2019,2019-08-11
1566086400,1,-1,2019,2019-08-18
1566691200,0,0,2019,2019-08-25
1567296000,14,0,2019,2019-09-01
1567900800,0,0,2019,2019-09-08
1568505600,26,-28,2019,2019-09-15
1569110400,17,-2,2019,2019-09-22
1569715200,1,-1,2019,2019-09-29
1570320000,53,-41,2019,2019-10-06
1570924800,0,0,2019,2019-10-13
1571529600,0,0,2019,2019-10-20
1572134400,99,-69,2019,2019-10-27
1572739200,0,0,2019,2019-11-03
1573344000,42,-54,2019,2019-11-10
1573948800,14,0,2019,2019-11-17
1574553600,0,0,2019,2019-11-24
1575158400,1,-1,2019,2019-12-01
1575763200,4214,-3163,2019,2019-12-08
1576368000,0,0,2019,2019-12-15
1576972800,0,0,2019,2019-12-22
1577577600,51,-52,2019,2019-12-29
1578182400,37,-81,2020,2020-01-05
1578787200,0,0,2020,2020-01-12
1579392000,0,0,2020,2020-01-19
1579996800,1,-1,2020,2020-01-26
1580601600,16,-1,2020,2020-02-02
1581206400,44,-42,2020,2020-02-09
1581811200,0,0,2020,2020-02-16
1582416000,24,-10,2020,2020-02-23
1583020800,3,-3,2020,2020-03-01
1583625600,74,-103,2020,2020-03-08
1584230400,0,0,2020,2020-03-15
1584835200,0,0,2020,2020-03-22
1585440000,2,-2,2020,2020-03-29
1586044800,41,-62,2020,2020-04-05
1586649600,0,0,2020,2020-04-12
1587254400,0,0,2020,2020-04-19
1587859200,21,-16,2020,2020-04-26
1588464000,0,0,2020,2020-05-03
1589068800,0,0,2020,2020-05-10
1589673600,0,0,2020,2020-05-17
1590278400,0,0,2020,2020-05-24
1590883200,20,-17,2020,2020-05-31
1591488000,0,0,2020,2020-06-07
1592092800,0,0,2020,2020-06-14
1592697600,0,0,2020,2020-06-21
1593302400,6,-6,2020,2020-06-28
1593907200,0,0,2020,2020-07-05
1594512000,0,0,2020,2020-07-12
1595116800,0,0,2020,2020-07-19
1595721600,18,-38,2020,2020-07-26
1596326400,52,-64,2020,2020-08-02
1596931200,25,-6,2020,2020-08-09
1597536000,71,-71,2020,2020-08-16
1598140800,10,0,2020,2020-08-23
1598745600,0,0,2020,2020-08-30
1599350400,10,0,2020,2020-09-06
1599955200,10,0,2020,2020-09-13
1600560000,114,-47,2020,2020-09-20
1601164800,1,0,2020,2020-09-27
1601769600,18,-2,2020,2020-10-04
1602374400,3,-3,2020,2020-10-11
1602979200,0,0,2020,2020-10-18
1603584000,0,0,2020,2020-10-25
1604188800,0,0,2020,2020-11-01
1604793600,0,0,2020,2020-11-08
1605398400,101,-44,2020,2020-11-15
1606003200,5,0,2020,2020-11-22
1606608000,0,0,2020,2020-11-29
1607212800,0,0,2020,2020-12-06
1607817600,0,0,2020,2020-12-13
1608422400,0,0,2020,2020-12-20
1609027200,43,-13,2020,2020-12-27
1609632000,5,0,2021,2021-01-03
1610236800,12,-2,2021,2021-01-10
1610841600,10,0,2021,2021-01-17
1611446400,0,0,2021,2021-01-24
1612051200,0,0,2021,2021-01-31
1612656000,0,0,2021,2021-02-07
1613260800,0,0,2021,2021-02-14
1613865600,0,0,2021,2021-02-21
1614470400,0,0,2021,2021-02-28
1615075200,50,-73,2021,2021-03-07
1615680000,44,0,2021,2021-03-14
1616284800,0,0,2021,2021-03-21
1616889600,267,-119,2021,2021-03-28
1617494400,26,-8,2021,2021-04-04
1618099200,442,-59,2021,2021-04-11
1618704000,14,0,2021,2021-04-18
1619308800,6,-6,2021,2021-04-25
1619913600,18,-1,2021,2021-05-02
1620518400,0,0,2021,2021-05-09
1621123200,0,0,2021,2021-05-16
1621728000,5,0,2021,2021-05-23
1622332800,1185,-662,2021,2021-05-30
1622937600,120,-54,2021,2021-06-06
1623542400,0,0,2021,2021-06-13
1624147200,23,-26,2021,2021-06-20
1624752000,15,-18,2021,2021-06-27
1625356800,14,-8,2021,2021-07-04
1625961600,0,0,2021,2021-07-11
1626566400,0,0,2021,2021-07-18
1627171200,0,0,2021,2021-07-25
1627776000,72,-31,2021,2021-08-01
1628380800,20,-8,2021,2021-08-08
